k,distancia,porcentagem_usada_treino,resultado
1,euclidian,0.25,72.8
1,euclidian,0.5,82.3
1,euclidian,1,82.0
1,manhattan,0.25,68.1
1,manhattan,0.5,79.6
1,manhattan,1,81.3
3,euclidian,0.25,79.3
3,euclidian,0.5,79.6
3,euclidian,1,83.3
3,manhattan,0.25,71.8
3,manhattan,0.5,81.1
3,manhattan,1,82.6
5,euclidian,0.25,75.5
5,euclidian,0.5,80.3
5,euclidian,1,83.5
5,manhattan,0.25,70.5
5,manhattan,0.5,80.2
5,manhattan,1,83.2
7,euclidian,0.25,74.4
7,euclidian,0.5,81.6
7,euclidian,1,84.0
7,manhattan,0.25,75.2
7,manhattan,0.5,81.7
7,manhattan,1,84.6
9,euclidian,0.25,66.5
9,euclidian,0.5,81.5
9,euclidian,1,83.8
9,manhattan,0.25,77.0
9,manhattan,0.5,82.3
9,manhattan,1,84.6
11,euclidian,0.25,72.0
11,euclidian,0.5,78.2
11,euclidian,1,84.1
11,manhattan,0.25,68.8
11,manhattan,0.5,83.4
11,manhattan,1,84.8
13,euclidian,0.25,64.2
13,euclidian,0.5,79.6
13,euclidian,1,84.3
13,manhattan,0.25,73.7
13,manhattan,0.5,77.9
13,manhattan,1,84.9
15,euclidian,0.25,72.5
15,euclidian,0.5,81.0
15,euclidian,1,84.0
15,manhattan,0.25,75.4
15,manhattan,0.5,80.8
15,manhattan,1,84.6
17,euclidian,0.25,68.8
17,euclidian,0.5,71.3
17,euclidian,1,84.2
17,manhattan,0.25,67.3
17,manhattan,0.5,74.4
17,manhattan,1,83.6
19,euclidian,0.25,72.9
19,euclidian,0.5,79.3
19,euclidian,1,84.1
19,manhattan,0.25,63.8
19,manhattan,0.5,74.3
19,manhattan,1,84.2
