k,distancia,porcentagem_usada_treino,resultado
1,euclidian,0.25,91.9
1,euclidian,0.5,93.9
1,euclidian,1,95.0
1,manhattan,0.25,89.1
1,manhattan,0.5,94.0
1,manhattan,1,95.2
3,euclidian,0.25,93.6
3,euclidian,0.5,95.0
3,euclidian,1,96.0
3,manhattan,0.25,91.4
3,manhattan,0.5,93.8
3,manhattan,1,95.4
5,euclidian,0.25,92.7
5,euclidian,0.5,95.1
5,euclidian,1,95.7
5,manhattan,0.25,89.6
5,manhattan,0.5,93.8
5,manhattan,1,95.4
7,euclidian,0.25,91.0
7,euclidian,0.5,94.8
7,euclidian,1,95.8
7,manhattan,0.25,90.8
7,manhattan,0.5,94.1
7,manhattan,1,95.1
9,euclidian,0.25,91.7
9,euclidian,0.5,95.3
9,euclidian,1,95.6
9,manhattan,0.25,87.2
9,manhattan,0.5,92.8
9,manhattan,1,95.4
11,euclidian,0.25,86.2
11,euclidian,0.5,95.1
11,euclidian,1,95.8
11,manhattan,0.25,87.9
11,manhattan,0.5,94.5
11,manhattan,1,95.2
13,euclidian,0.25,81.1
13,euclidian,0.5,93.7
13,euclidian,1,95.7
13,manhattan,0.25,85.4
13,manhattan,0.5,95.1
13,manhattan,1,95.5
15,euclidian,0.25,85.7
15,euclidian,0.5,93.4
15,euclidian,1,95.7
15,manhattan,0.25,85.7
15,manhattan,0.5,92.5
15,manhattan,1,95.6
17,euclidian,0.25,78.5
17,euclidian,0.5,88.3
17,euclidian,1,95.7
17,manhattan,0.25,84.5
17,manhattan,0.5,93.1
17,manhattan,1,95.6
19,euclidian,0.25,80.0
19,euclidian,0.5,86.9
19,euclidian,1,95.7
19,manhattan,0.25,83.0
19,manhattan,0.5,92.1
19,manhattan,1,95.5
